x0000,y0000,x0001,y0001
0,25.62,0,30,
0.1,25.62,1,30,
0.2,25.62,2,30,
0.3,25.62,3,30,
0.4,25.62,4,30,
0.5,25.62,5,30,
0.6,25.62,6,30,
0.7,25.62,7,30,
0.8,25.62,8,30,
0.9,25.62,9,30,
1,25.62,10,30,
1.1,25.81,11,30,
1.2,25.81,12,30,
1.3,25.81,13,30,
1.4,25.81,14,30,
1.5,25.81,15,30,
1.6,25.81,16,30,
1.7,26.37,17,30,
1.8,26.37,18,30,
1.9,26.37,19,30,
2,26.37,20,30,
2.1,26.37,21,30,
2.2,26.37,22,30,
2.3,27,23,30,
2.4,27,24,30,
2.5,27,25,30,
2.6,27,26,30,
2.7,27,27,30,
2.8,27,28,30,
2.9,27.75,29,30,
3,27.75,30,30,
3.1,27.75,31,30,
3.2,27.75,32,30,
3.3,27.75,33,30,
3.4,27.75,34,30,
3.5,28.44,35,30,
3.6,28.44,36,30,
3.7,28.44,37,30,
3.8,28.44,38,30,
3.9,28.44,39,30,
4,28.44,40,30,
4.1,29.06,41,30,
4.2,29.06,42,30,
4.3,29.06,43,30,
4.4,29.06,44,30,
4.5,29.06,45,30,
4.6,29.06,46,30,
4.7,29.69,47,30,
4.8,29.69,48,30,
4.9,29.69,49,30,
5,29.69,50,30,
5.1,29.69,51,30,
5.2,29.69,52,30,
5.3,30.31,53,30,
5.4,30.31,54,30,
5.5,30.31,55,30,
5.6,30.31,56,30,
5.7,30.31,57,30,
5.8,30.31,58,30,
5.9,30.87,59,30,
6,30.87,60,30,
6.1,30.87,61,30,
6.2,30.87,62,30,
6.3,30.87,63,30,
6.4,30.87,64,30,
6.5,31.44,65,30,
6.6,31.44,66,30,
6.7,31.44,67,30,
6.8,31.44,68,30,
6.9,31.44,69,30,
7,31.44,70,30,
7.1,31.94,71,30,
7.2,31.94,72,30,
7.3,31.94,73,30,
7.4,31.94,74,30,
7.5,31.94,75,30,
7.6,31.94,76,30,
7.7,32.5,77,30,
7.8,32.5,78,30,
7.9,32.5,79,30,
8,32.5,80,30,
8.1,32.5,81,30,
8.2,32.5,82,30,
8.3,32.94,83,30,
8.4,32.94,84,30,
8.5,32.94,85,30,
8.6,32.94,86,30,
8.7,32.94,87,30,
8.8,32.94,88,30,
8.9,33.44,89,30,
9,33.44,90,30,
9.1,33.44,91,30,
9.2,33.44,92,30,
9.3,33.44,93,30,
9.4,33.44,94,30,
9.5,33.88,95,30,
9.6,33.88,96,30,
9.7,33.88,97,30,
9.8,33.88,98,30,
9.9,33.88,99,30,
10,33.88,100,30,
10.1,34.31,101,30,
10.2,34.31,102,30,
10.3,34.31,103,30,
10.4,34.31,104,30,
10.5,34.31,105,30,
10.6,34.31,106,30,
10.7,34.75,107,30,
10.8,34.75,108,30,
10.9,34.75,109,30,
11,34.75,110,30,
11.1,34.75,111,30,
11.2,34.75,112,30,
11.3,35.13,113,30,
11.4,35.13,114,30,
11.5,35.13,115,30,
11.6,35.13,116,30,
11.7,35.13,117,30,
11.8,35.13,118,30,
11.9,35.56,119,30,
12,35.56,120,30,
12.1,35.56,121,30,
12.2,35.56,122,30,
12.3,35.56,123,30,
12.4,35.56,124,30,
12.5,35.94,125,30,
12.6,35.94,126,30,
12.7,35.94,127,30,
12.8,35.94,128,30,
12.9,35.94,129,30,
13,35.94,130,30,
13.1,36.31,131,30,
13.2,36.31,132,30,
13.3,36.31,133,30,
13.4,36.31,134,30,
13.5,36.31,135,30,
13.6,36.31,136,30,
13.7,36.69,137,30,
13.8,36.69,138,30,
13.9,36.69,139,30,
14,36.69,140,30,
14.1,36.69,141,30,
14.2,36.69,142,30,
14.3,37,143,30,
14.4,37,144,30,
14.5,37,145,30,
14.6,37,146,30,
14.7,37,147,30,
14.8,37,148,30,
14.9,37.38,149,30,
15,37.38,150,30,
15.1,37.38,151,30,
15.2,37.38,152,30,
15.3,37.38,153,30,
15.4,37.38,154,30,
15.5,37.69,155,30,
15.6,37.69,156,30,
15.7,37.69,157,30,
15.8,37.69,158,30,
15.9,37.69,159,30,
16,37.69,160,30,
16.1,38.06,161,30,
16.2,38.06,162,30,
16.3,38.06,163,30,
16.4,38.06,164,30,
16.5,38.06,165,30,
16.6,38.06,166,30,
16.7,38.38,167,30,
16.8,38.38,168,30,
16.9,38.38,169,30,
17,38.38,170,30,
17.1,38.38,171,30,
17.2,38.38,172,30,
17.3,38.69,173,30,
17.4,38.69,174,30,
17.5,38.69,175,30,
17.6,38.69,176,30,
17.7,38.69,177,30,
17.8,38.69,178,30,
17.9,39,179,30,
18,39,180,30,
18.1,39,181,30,
18.2,39,182,30,
18.3,39,183,30,
18.4,39,184,30,
18.5,39.25,185,30,
18.6,39.25,186,30,
18.7,39.25,187,30,
18.8,39.25,188,30,
18.9,39.25,189,30,
19,39.25,190,30,
19.1,39.56,191,30,
19.2,39.56,192,30,
19.3,39.56,193,30,
19.4,39.56,194,30,
19.5,39.56,195,30,
19.6,39.56,196,30,
19.7,39.88,197,30,
19.8,39.88,198,30,
19.9,39.88,199,30,
20,39.88,200,30,
20.1,39.88,201,30,
20.2,39.88,202,30,
20.3,40.13,203,30,
20.4,40.13,204,30,
20.5,40.13,205,30,
20.6,40.13,206,30,
20.7,40.13,207,30,
